Departamento,Hecho Vistimizante,No.Victimas
Putumayo,"Vincuación de Niños, Niñas y Adolescentes a actividades relacionadas con grupos armados",125
Quindío,Abandono o Despojo Forzado de Tierras,0
Quindío,"Acto terrorista, Atentados, Combates, Enfrentamientos, Hostigamientos",376
Quindío,Amenaza,7395
Quindío,Confinamiento,0
Quindío,Delitos contra la Libertad y la Integridad sexual en desarrollo del conflicto Armado,192
Quindío,Desaparición forzada,1304
Quindío,Desplazamiento Forzado,59435
Quindío,"Homicidio, Masacre",7680
Quindío,Lesiones Personales Fisicas,45
Quindío,Lesiones Personales Psicologicas,5
Quindío,"Minas Antipersonal, Munición sin Explotar y artefacto explosivo improvisado",82
Quindío,Perdida de Bienes Muebles o Inmuebles,389
Quindío,SIN INFORMACION,0
Quindío,Secuestro,115
Quindío,Tortura,85
Quindío,"Vincuación de Niños, Niñas y Adolescentes a actividades relacionadas con grupos armados",132
Risaralda,Abandono o Despojo Forzado de Tierras,0
Risaralda,"Acto terrorista, Atentados, Combates, Enfrentamientos, Hostigamientos",1595
Risaralda,Amenaza,10326
Risaralda,Confinamiento,0
Risaralda,Delitos contra la Libertad y la Integridad sexual en desarrollo del conflicto Armado,384
Risaralda,Desaparición forzada,2373
Risaralda,Desplazamiento Forzado,110928
Risaralda,"Homicidio, Masacre",20454
Risaralda,Lesiones Personales Fisicas,86
Risaralda,Lesiones Personales Psicologicas,7
Risaralda,"Minas Antipersonal, Munición sin Explotar y artefacto explosivo improvisado",60
Risaralda,Perdida de Bienes Muebles o Inmuebles,751
Risaralda,SIN INFORMACION,1
Risaralda,Secuestro,302
Risaralda,Tortura,175
Risaralda,"Vincuación de Niños, Niñas y Adolescentes a actividades relacionadas con grupos armados",180
San Andrés,Abandono o Despojo Forzado de Tierras,0
San Andrés,"Acto terrorista, Atentados, Combates, Enfrentamientos, Hostigamientos",0
San Andrés,Amenaza,57
San Andrés,Confinamiento,0
San Andrés,Delitos contra la Libertad y la Integridad sexual en desarrollo del conflicto Armado,4
San Andrés,Desaparición forzada,2
San Andrés,Desplazamiento Forzado,272
San Andrés,"Homicidio, Masacre",34
San Andrés,Lesiones Personales Fisicas,0
San Andrés,Lesiones Personales Psicologicas,0
San Andrés,"Minas Antipersonal, Munición sin Explotar y artefacto explosivo improvisado",1
San Andrés,Perdida de Bienes Muebles o Inmuebles,0
San Andrés,SIN INFORMACION,0
San Andrés,Secuestro,0
San Andrés,Tortura,0
San Andrés,"Vincuación de Niños, Niñas y Adolescentes a actividades relacionadas con grupos armados",0
Santander,Abandono o Despojo Forzado de Tierras,0
Santander,"Acto terrorista, Atentados, Combates, Enfrentamientos, Hostigamientos",1587
Santander,Amenaza,8380
Santander,Confinamiento,0
Santander,Delitos contra la Libertad y la Integridad sexual en desarrollo del conflicto Armado,695
Santander,Desaparición forzada,6193
Santander,Desplazamiento Forzado,254944
Santander,"Homicidio, Masacre",36184
Santander,Lesiones Personales Fisicas,255
Santander,Lesiones Personales Psicologicas,15
Santander,"Minas Antipersonal, Munición sin Explotar y artefacto explosivo improvisado",306
Santander,Perdida de Bienes Muebles o Inmuebles,976
Santander,SIN INFORMACION,3
Santander,Secuestro,1043
Santander,Tortura,347
Santander,"Vincuación de Niños, Niñas y Adolescentes a actividades relacionadas con grupos armados",251
Sucre,Abandono o Despojo Forzado de Tierras,1
Sucre,"Acto terrorista, Atentados, Combates, Enfrentamientos, Hostigamientos",1518
Sucre,Amenaza,7622
Sucre,Confinamiento,0
Sucre,Delitos contra la Libertad y la Integridad sexual en desarrollo del conflicto Armado,758
Sucre,Desaparición forzada,3447
Sucre,Desplazamiento Forzado,362942
Sucre,"Homicidio, Masacre",23799
Sucre,Lesiones Personales Fisicas,95
Sucre,Lesiones Personales Psicologicas,5
Sucre,"Minas Antipersonal, Munición sin Explotar y artefacto explosivo improvisado",139
Sucre,Perdida de Bienes Muebles o Inmuebles,912
Sucre,SIN INFORMACION,9
Sucre,Secuestro,707
Sucre,Tortura,141
Sucre,"Vincuación de Niños, Niñas y Adolescentes a actividades relacionadas con grupos armados",42
Tolima,Abandono o Despojo Forzado de Tierras,0
Tolima,"Acto terrorista, Atentados, Combates, Enfrentamientos, Hostigamientos",1707
Tolima,Amenaza,18194
Tolima,Confinamiento,0
Tolima,Delitos contra la Libertad y la Integridad sexual en desarrollo del conflicto Armado,403
Tolima,Desaparición forzada,2988
Tolima,Desplazamiento Forzado,191000
Tolima,"Homicidio, Masacre",24416
Tolima,Lesiones Personales Fisicas,156
Tolima,Lesiones Personales Psicologicas,13
Tolima,"Minas Antipersonal, Munición sin Explotar y artefacto explosivo improvisado",344
Tolima,Perdida de Bienes Muebles o Inmuebles,3413
Tolima,SIN INFORMACION,2
Tolima,Secuestro,393
Tolima,Tortura,233
Tolima,"Vincuación de Niños, Niñas y Adolescentes a actividades relacionadas con grupos armados",136
Valle del Cauca,Abandono o Despojo Forzado de Tierras,0
Valle del Cauca,"Acto terrorista, Atentados, Combates, Enfrentamientos, Hostigamientos",3840
Valle del Cauca,Amenaza,37576
Valle del Cauca,Confinamiento,810
Valle del Cauca,Delitos contra la Libertad y la Integridad sexual en desarrollo del conflicto Armado,1817
Valle del Cauca,Desaparición forzada,8869
Valle del Cauca,Desplazamiento Forzado,561795
Valle del Cauca,"Homicidio, Masacre",62790
Valle del Cauca,Lesiones Personales Fisicas,524
Valle del Cauca,Lesiones Personales Psicologicas,25
Valle del Cauca,"Minas Antipersonal, Munición sin Explotar y artefacto explosivo improvisado",413
Valle del Cauca,Perdida de Bienes Muebles o Inmuebles,6719
Valle del Cauca,SIN INFORMACION,5
Valle del Cauca,Secuestro,770
Valle del Cauca,Tortura,453
Valle del Cauca,"Vincuación de Niños, Niñas y Adolescentes a actividades relacionadas con grupos armados",398
Vaupés,Abandono o Despojo Forzado de Tierras,0
Vaupés,"Acto terrorista, Atentados, Combates, Enfrentamientos, Hostigamientos",974
Vaupés,Amenaza,1527
Vaupés,Confinamiento,0
Vaupés,Delitos contra la Libertad y la Integridad sexual en desarrollo del conflicto Armado,14
Vaupés,Desaparición forzada,101
Vaupés,Desplazamiento Forzado,8168
Vaupés,"Homicidio, Masacre",369
Vaupés,Lesiones Personales Fisicas,9
Vaupés,Lesiones Personales Psicologicas,0
Vaupés,"Minas Antipersonal, Munición sin Explotar y artefacto explosivo improvisado",31
Vaupés,Perdida de Bienes Muebles o Inmuebles,59
Vaupés,SIN INFORMACION,0
Vaupés,Secuestro,27
Vaupés,Tortura,6
Vaupés,"Vincuación de Niños, Niñas y Adolescentes a actividades relacionadas con grupos armados",19
Vichada,Abandono o Despojo Forzado de Tierras,0
Vichada,"Acto terrorista, Atentados, Combates, Enfrentamientos, Hostigamientos",115
Vichada,Amenaza,699
Vichada,Confinamiento,0
Vichada,Delitos contra la Libertad y la Integridad sexual en desarrollo del conflicto Armado,11
Vichada,Desaparición forzada,134
Vichada,Desplazamiento Forzado,8216
Vichada,"Homicidio, Masacre",360
Vichada,Lesiones Personales Fisicas,3
Vichada,Lesiones Personales Psicologicas,0
Vichada,"Minas Antipersonal, Munición sin Explotar y artefacto explosivo improvisado",4
Vichada,Perdida de Bienes Muebles o Inmuebles,196
Vichada,SIN INFORMACION,0
Vichada,Secuestro,13
Vichada,Tortura,6
Vichada,"Vincuación de Niños, Niñas y Adolescentes a actividades relacionadas con grupos armados",9
